,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data._target_,data.drop,data.name,data.target,data.sample._target_,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.data._target_,model.data.drop,model.data.name,model.data.sample._target_,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init._target_,model.init.algorithm,model.init.k,model.init.m,model.init.metric,model.init.name,model.init.precompute,model.init.symmetric,model.init.weights,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
9b50f99a47f3d70c129bc11ae7b9b08a,train,deckard.base.experiment.Experiment,9b50f99a47f3d70c129bc11ae7b9b08a,KDD NSL,cpu,9b50f99a47f3d70c129bc11ae7b9b08a,9b50f99a47f3d70c129bc11ae7b9b08a,k-KNN,9b50f99a47f3d70c129bc11ae7b9b08a,9b50f99a47f3d70c129bc11ae7b9b08a,0.47,18.30586333230044,cpu,1721439757.5509202,1721439747.7211728,10.71745632,0.1071745632,cpu,1721439747.7207134,1721439716.3159666,33.92178256,0.1130726085333333,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,3052,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,9b50f99a47f3d70c129bc11ae7b9b08a,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,3052,True,100,300,label,deckard.base.model.ModelInitializer,brute,1,1,Jaro,gzip_classifier.GzipKNN,True,Asymmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
aa987eb955a2b500ca5af24fb73c1c59,train,deckard.base.experiment.Experiment,aa987eb955a2b500ca5af24fb73c1c59,KDD NSL,cpu,aa987eb955a2b500ca5af24fb73c1c59,aa987eb955a2b500ca5af24fb73c1c59,k-KNN,aa987eb955a2b500ca5af24fb73c1c59,aa987eb955a2b500ca5af24fb73c1c59,0.97,1.0361712878216232,cpu,1721731634.4836538,1721731621.2039435,15.42728118,0.1542728118,cpu,1721731621.2035596,1721731581.7727337,45.50514862,0.1516838287333333,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,8771,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,aa987eb955a2b500ca5af24fb73c1c59,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,8771,True,100,300,label,deckard.base.model.ModelInitializer,brute,1,1,BZ2,gzip_classifier.GzipKNN,True,Asymmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
b0748316c28c70cbdf81c2995522a02c,train,deckard.base.experiment.Experiment,b0748316c28c70cbdf81c2995522a02c,KDD NSL,cpu,b0748316c28c70cbdf81c2995522a02c,b0748316c28c70cbdf81c2995522a02c,k-KNN,b0748316c28c70cbdf81c2995522a02c,b0748316c28c70cbdf81c2995522a02c,0.96,1.381551055796428,cpu,1721438421.4763913,1721438407.134555,15.23118028,0.1523118028,cpu,1721438407.134128,1721438365.247342,44.41153215,0.1480384405,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,3970,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,b0748316c28c70cbdf81c2995522a02c,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,3970,True,100,300,label,deckard.base.model.ModelInitializer,brute,5,1,GZIP,gzip_classifier.GzipKNN,True,Asymmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
b437faa02fb29b8e01b4dd5211480f06,train,deckard.base.experiment.Experiment,b437faa02fb29b8e01b4dd5211480f06,KDD NSL,cpu,b437faa02fb29b8e01b4dd5211480f06,b437faa02fb29b8e01b4dd5211480f06,k-KNN,b437faa02fb29b8e01b4dd5211480f06,b437faa02fb29b8e01b4dd5211480f06,0.98,0.6907835238725164,cpu,1721438506.924342,1721438457.549552,53.17417581,0.5317417581,cpu,1721438457.5489874,1721438365.2473493,98.4106079,0.3280353596666667,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,8919,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,b437faa02fb29b8e01b4dd5211480f06,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,8919,True,100,300,label,deckard.base.model.ModelInitializer,brute,5,1,LZMA,gzip_classifier.GzipKNN,True,Symmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
b6553357f372c52f487bda6d54e0de5c,train,deckard.base.experiment.Experiment,b6553357f372c52f487bda6d54e0de5c,KDD NSL,cpu,b6553357f372c52f487bda6d54e0de5c,b6553357f372c52f487bda6d54e0de5c,k-KNN,b6553357f372c52f487bda6d54e0de5c,b6553357f372c52f487bda6d54e0de5c,0.74,8.980209798265609,cpu,1721730504.4607792,1721730494.8853984,10.38280106,0.1038280106,cpu,1721730494.8849404,1721730463.7732985,33.52010451,0.1117336817,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,9756,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,b6553357f372c52f487bda6d54e0de5c,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,9756,True,100,300,label,deckard.base.model.ModelInitializer,brute,3,1,Hamming,gzip_classifier.GzipKNN,True,Asymmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
bcc83e663b763c222993b67ebdfb4534,train,deckard.base.experiment.Experiment,bcc83e663b763c222993b67ebdfb4534,KDD NSL,cpu,bcc83e663b763c222993b67ebdfb4534,bcc83e663b763c222993b67ebdfb4534,k-KNN,bcc83e663b763c222993b67ebdfb4534,bcc83e663b763c222993b67ebdfb4534,0.97,1.0361872797702274,cpu,1721731237.7862551,1721731224.7514174,15.16937967,0.1516937967,cpu,1721731224.7510371,1721731181.354205,49.73239989,0.1657746663,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,9063,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,bcc83e663b763c222993b67ebdfb4534,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,9063,True,100,300,label,deckard.base.model.ModelInitializer,brute,7,1,BZ2,gzip_classifier.GzipKNN,True,Asymmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
bd45e5e560fe30f5985a0f665d995877,train,deckard.base.experiment.Experiment,bd45e5e560fe30f5985a0f665d995877,KDD NSL,cpu,bd45e5e560fe30f5985a0f665d995877,bd45e5e560fe30f5985a0f665d995877,k-KNN,bd45e5e560fe30f5985a0f665d995877,bd45e5e560fe30f5985a0f665d995877,0.97,1.0361632918473211,cpu,1721730980.5603485,1721730968.7953808,12.52309089,0.1252309089,cpu,1721730968.7952352,1721730942.85312,27.54912604,0.0918304201333333,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,6341,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,bd45e5e560fe30f5985a0f665d995877,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,6341,True,100,300,label,deckard.base.model.ModelInitializer,brute,7,1,ZSTD,gzip_classifier.GzipKNN,True,Symmetric,uniform,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
bd5bf8673c3dc0a2198f1754f2d4a154,train,deckard.base.experiment.Experiment,bd5bf8673c3dc0a2198f1754f2d4a154,KDD NSL,cpu,bd5bf8673c3dc0a2198f1754f2d4a154,bd5bf8673c3dc0a2198f1754f2d4a154,k-KNN,bd5bf8673c3dc0a2198f1754f2d4a154,bd5bf8673c3dc0a2198f1754f2d4a154,0.97,1.0361792837959252,cpu,1721730937.567103,1721730893.4000852,47.67266113,0.4767266113,cpu,1721730893.3985755,1721730812.9106455,85.93993683,0.2864664561,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,7678,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,bd5bf8673c3dc0a2198f1754f2d4a154,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,7678,True,100,300,label,deckard.base.model.ModelInitializer,brute,1,1,LZMA,gzip_classifier.GzipKNN,True,Symmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
bef492f09e88253d7b4acbc229fb243d,train,deckard.base.experiment.Experiment,bef492f09e88253d7b4acbc229fb243d,KDD NSL,cpu,bef492f09e88253d7b4acbc229fb243d,bef492f09e88253d7b4acbc229fb243d,k-KNN,bef492f09e88253d7b4acbc229fb243d,bef492f09e88253d7b4acbc229fb243d,0.98,0.6907835238725164,cpu,1721439645.13897,1721439538.2526486,113.53057948,1.1353057948,cpu,1721439538.2521226,1721439187.5410204,372.42094803,1.2414031601,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,3756,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,bef492f09e88253d7b4acbc229fb243d,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,3756,True,100,300,label,deckard.base.model.ModelInitializer,brute,5,1,LZMA,gzip_classifier.GzipKNN,True,Asymmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
9af76c9a387a17dde210707227bda2c9,train,deckard.base.experiment.Experiment,9af76c9a387a17dde210707227bda2c9,KDD NSL,cpu,9af76c9a387a17dde210707227bda2c9,9af76c9a387a17dde210707227bda2c9,k-KNN,9af76c9a387a17dde210707227bda2c9,9af76c9a387a17dde210707227bda2c9,0.99,0.3453877639491077,cpu,1721730854.606271,1721730841.8023608,14.90494161,0.1490494161,cpu,1721730841.802158,1721730812.910509,32.5881515,0.1086271716666666,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,label,deckard.base.data.SklearnDataSampler,7432,True,100,300,deckard.base.files.FileConfig,.csv,kdd_nsl,9af76c9a387a17dde210707227bda2c9,predictions.json,reports/gzip_knn/300,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,['id'],raw_data/kdd_nsl_undersampled_5000.csv,deckard.base.data.SklearnDataSampler,7432,True,100,300,label,deckard.base.model.ModelInitializer,brute,1,1,BZ2,gzip_classifier.GzipKNN,True,Symmetric,distance,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
