,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.algorithm,model.init.k,Condensing Ratio,Metric,model.init.name,Symmetric,model.init.weights,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers,Condensing Method,model.init.modified
2785dec6b6adc8e819f296175d6ce35e,train,deckard.base.experiment.Experiment,2785dec6b6adc8e819f296175d6ce35e,DDoS,cpu,2785dec6b6adc8e819f296175d6ce35e,2785dec6b6adc8e819f296175d6ce35e,k-KNN,2785dec6b6adc8e819f296175d6ce35e,2785dec6b6adc8e819f296175d6ce35e,0.99,0.3453957599234097,cpu,1725642378.0207903,1725642368.572898,10.19850305,0.1019850305,cpu,1725642368.5728018,1725642340.9489832,29.38954404,0.0979651468,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,2,True,True,100,300,deckard.base.files.FileConfig,data,6d927a2d3adceaababddc75000b5d688,.pkl,ddos,2785dec6b6adc8e819f296175d6ce35e,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,2,True,True,100,300,Label,brute,1,1,ZSTD,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
23d0f21814a777269600bf437766e849,train,deckard.base.experiment.Experiment,23d0f21814a777269600bf437766e849,DDoS,cpu,23d0f21814a777269600bf437766e849,23d0f21814a777269600bf437766e849,k-KNN,23d0f21814a777269600bf437766e849,23d0f21814a777269600bf437766e849,0.28,24.868094915770328,cpu,1725642286.46692,1725642274.8805864,8.76856967,0.0876856967,cpu,1725642274.8804896,1725642248.204192,27.1603603,0.0905345343333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,300,deckard.base.files.FileConfig,data,06b58b9aa34571cd6328e9b3ff4793a1,.pkl,ddos,23d0f21814a777269600bf437766e849,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,300,Label,brute,1,1,Ratio,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
1b54f91b93dd448db0c74358cb40d5c1,train,deckard.base.experiment.Experiment,1b54f91b93dd448db0c74358cb40d5c1,DDoS,cpu,1b54f91b93dd448db0c74358cb40d5c1,1b54f91b93dd448db0c74358cb40d5c1,k-KNN,1b54f91b93dd448db0c74358cb40d5c1,1b54f91b93dd448db0c74358cb40d5c1,1.0,9.992007221626413e-16,cpu,1725639260.212142,1725639250.625065,9.76615625,0.0976615625,cpu,1725639250.6246347,1725639219.6635218,31.67968961,0.1055989653666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,6,True,True,100,300,deckard.base.files.FileConfig,data,8f2c49a0567c76a8666aebfcf4e9b814,.pkl,ddos,1b54f91b93dd448db0c74358cb40d5c1,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,6,True,True,100,300,Label,brute,1,1,Levenshtein,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
17d26eb5848e988c7e6dec8c0f9a3aff,train,deckard.base.experiment.Experiment,17d26eb5848e988c7e6dec8c0f9a3aff,DDoS,cpu,17d26eb5848e988c7e6dec8c0f9a3aff,17d26eb5848e988c7e6dec8c0f9a3aff,k-KNN,17d26eb5848e988c7e6dec8c0f9a3aff,17d26eb5848e988c7e6dec8c0f9a3aff,0.99,0.3453957599234097,cpu,1725642511.601627,1725642502.7880938,8.99953143,0.0899953143,cpu,1725642502.7879932,1725642474.8236136,28.44390085,0.0948130028333333,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,300,deckard.base.files.FileConfig,data,1042a7a8828607581b2b26dc5ef28991,.pkl,ddos,17d26eb5848e988c7e6dec8c0f9a3aff,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,300,Label,brute,1,1,Levenshtein,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
159cd9dbe756b9adf6892cd5d28e453d,train,deckard.base.experiment.Experiment,159cd9dbe756b9adf6892cd5d28e453d,DDoS,cpu,159cd9dbe756b9adf6892cd5d28e453d,159cd9dbe756b9adf6892cd5d28e453d,k-KNN,159cd9dbe756b9adf6892cd5d28e453d,159cd9dbe756b9adf6892cd5d28e453d,1.0,9.992007221626413e-16,cpu,1725642571.0575144,1725642562.2378125,8.97900289,0.0897900289,cpu,1725642562.2375402,1725642526.600099,28.40393765,0.0946797921666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,10,True,True,100,300,deckard.base.files.FileConfig,data,f38e059cf121c82b757ac18a4a125b93,.pkl,ddos,159cd9dbe756b9adf6892cd5d28e453d,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,10,True,True,100,300,Label,brute,5,1,Levenshtein,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
0c1085e750ab2f3e827c0a4d0cd43664,train,deckard.base.experiment.Experiment,0c1085e750ab2f3e827c0a4d0cd43664,DDoS,cpu,0c1085e750ab2f3e827c0a4d0cd43664,0c1085e750ab2f3e827c0a4d0cd43664,k-KNN,0c1085e750ab2f3e827c0a4d0cd43664,0c1085e750ab2f3e827c0a4d0cd43664,0.96,1.381583039693636,cpu,1725642571.953454,1725642563.003054,9.12639718,0.0912639718,cpu,1725642563.0023155,1725642526.6002283,28.96216505,0.0965405501666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,10,True,True,100,300,deckard.base.files.FileConfig,data,f38e059cf121c82b757ac18a4a125b93,.pkl,ddos,0c1085e750ab2f3e827c0a4d0cd43664,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,10,True,True,100,300,Label,brute,11,1,Levenshtein,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
ff83a1753e29b2fbcf7bbcffab744a36,train,deckard.base.experiment.Experiment,ff83a1753e29b2fbcf7bbcffab744a36,DDoS,cpu,ff83a1753e29b2fbcf7bbcffab744a36,ff83a1753e29b2fbcf7bbcffab744a36,k-KNN,ff83a1753e29b2fbcf7bbcffab744a36,ff83a1753e29b2fbcf7bbcffab744a36,0.26,25.55899038328308,cpu,1725624429.7188764,1725624410.947996,20.33815282,0.2033815282,cpu,1725624410.9478457,1725624408.7486453,2.24697442,0.112348721,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,2,True,True,100,20,deckard.base.files.FileConfig,data,b65d35796fa2624d7c7a5274bd081363,.pkl,ddos,ff83a1753e29b2fbcf7bbcffab744a36,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,2,True,True,100,20,Label,brute,11,1,SeqRatio,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
fc3526062faed060d6c8e54737a149f5,train,deckard.base.experiment.Experiment,fc3526062faed060d6c8e54737a149f5,DDoS,cpu,fc3526062faed060d6c8e54737a149f5,fc3526062faed060d6c8e54737a149f5,k-KNN,fc3526062faed060d6c8e54737a149f5,fc3526062faed060d6c8e54737a149f5,0.89,3.799353359157497,cpu,1725624615.5420551,1725624614.689116,0.95191797,0.0095191797,cpu,1725624614.6889966,1725624614.459118,0.2407641,0.012038205,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3,True,True,100,20,deckard.base.files.FileConfig,data,daeca5dd5ec2b1ab24c51838a805d8af,.pkl,ddos,fc3526062faed060d6c8e54737a149f5,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3,True,True,100,20,Label,brute,7,1,GZIP,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
fadb46d1202fd9da8b7e9c1720328070,train,deckard.base.experiment.Experiment,fadb46d1202fd9da8b7e9c1720328070,DDoS,cpu,fadb46d1202fd9da8b7e9c1720328070,fadb46d1202fd9da8b7e9c1720328070,k-KNN,fadb46d1202fd9da8b7e9c1720328070,fadb46d1202fd9da8b7e9c1720328070,0.33,23.14127603563933,cpu,1725624612.2289677,1725624592.6733637,21.29088325,0.2129088325,cpu,1725624592.673267,1725624590.113242,2.61547031,0.1307735155,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,20,deckard.base.files.FileConfig,data,07ec53fd0e926734d96d24e18d82a4fd,.pkl,ddos,fadb46d1202fd9da8b7e9c1720328070,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,20,Label,brute,11,1,SeqRatio,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
fa6e07377d9d42a508144340cd8db8b4,train,deckard.base.experiment.Experiment,fa6e07377d9d42a508144340cd8db8b4,DDoS,cpu,fa6e07377d9d42a508144340cd8db8b4,fa6e07377d9d42a508144340cd8db8b4,k-KNN,fa6e07377d9d42a508144340cd8db8b4,fa6e07377d9d42a508144340cd8db8b4,0.44,19.341986644276247,cpu,1725624353.5558417,1725624352.9149804,0.65315694,0.0065315694,cpu,1725624352.9148412,1725624352.7418597,0.16837165,0.0084185825,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,20,deckard.base.files.FileConfig,data,cd96bff9296e901275364e7f39a3639c,.pkl,ddos,fa6e07377d9d42a508144340cd8db8b4,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,20,Label,brute,1,1,Jaro-Winkler,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
fa6a73316f1d506be14556c09c73a873,train,deckard.base.experiment.Experiment,fa6a73316f1d506be14556c09c73a873,DDoS,cpu,fa6a73316f1d506be14556c09c73a873,fa6a73316f1d506be14556c09c73a873,k-KNN,fa6a73316f1d506be14556c09c73a873,fa6a73316f1d506be14556c09c73a873,0.45,18.99663886019865,cpu,1725624615.216637,1725624614.5960643,0.63876502,0.0063876502,cpu,1725624614.5957088,1725624614.4528668,0.14591055,0.0072955275,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,9,True,True,100,20,deckard.base.files.FileConfig,data,34a5bc029b2b980a324f2b3c3248f6a1,.pkl,ddos,fa6a73316f1d506be14556c09c73a873,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,9,True,True,100,20,Label,brute,5,1,Jaro,gzip_classifier.GzipKNN,Symmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
fa0e54411c5b07d795a6c760bae83989,train,deckard.base.experiment.Experiment,fa0e54411c5b07d795a6c760bae83989,DDoS,cpu,fa0e54411c5b07d795a6c760bae83989,fa0e54411c5b07d795a6c760bae83989,k-KNN,fa0e54411c5b07d795a6c760bae83989,fa0e54411c5b07d795a6c760bae83989,0.34,22.79572035622988,cpu,1725624466.2789907,1725624465.6373956,0.65393532,0.0065393532,cpu,1725624465.6372576,1725624465.4756715,0.15686699,0.0078433495,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,8,True,True,100,20,deckard.base.files.FileConfig,data,115994cc0d722d8a011a832d6cc94be1,.pkl,ddos,fa0e54411c5b07d795a6c760bae83989,predictions.json,reports/gzip_knn/20/symmetry_true,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,8,True,True,100,20,Label,brute,5,1,Ratio,gzip_classifier.GzipKNN,Symmetric,distance,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
5d35164313518cb5571ffbca11f489e1,train,deckard.base.experiment.Experiment,5d35164313518cb5571ffbca11f489e1,DDoS,cpu,5d35164313518cb5571ffbca11f489e1,5d35164313518cb5571ffbca11f489e1,k-KNN,5d35164313518cb5571ffbca11f489e1,5d35164313518cb5571ffbca11f489e1,1.0,9.992007221626413e-16,cpu,1725640651.2553525,1725640640.018669,12.06043458,0.1206043458,cpu,1725640640.0181656,1725640607.7490215,34.81260098,0.1160420032666666,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3,True,True,100,300,deckard.base.files.FileConfig,data,2af9d20903a6cb61ce583ac79a6d41b0,.pkl,ddos,5d35164313518cb5571ffbca11f489e1,predictions.json,reports/gzip_knn/300/symmetry_false,score_dict.json,train,sklearn,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3,True,True,100,300,Label,brute,1,1,ZSTD,gzip_classifier.GzipKNN,Asymmetric,uniform,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipKNN,Random,Vanilla
